\popi{R_t}{\ohm};\popi{\sigma(R_t)}{\ohm};\popi{t}{\C};\popi{T}{K};\popi{\sigma(T)}{K};\popi{R}{k\ohm};\popi{\sigma(R)}{k\ohm};\popi{R_t}{\ohm};\popi{\sigma(R_t)}{\ohm};\popi{t}{\C};\popi{T}{K};\popi{\sigma(T)}{K};\popi{R}{k\ohm};\popi{\sigma(R)}{k\ohm}
63,02;0,18;-96,05;177,10;0,46;192,77;0,32;77,65;0,21;-58,05;215,10;0,53;19,16;0,06
63,53;0,18;-94,73;178,42;0,46;175,57;0,29;77,93;0,21;-57,32;215,83;0,53;18,46;0,06
64,23;0,18;-92,91;180,24;0,46;155,70;0,26;78,19;0,21;-56,65;216,50;0,54;17,79;0,06
64,70;0,18;-91,69;181,46;0,47;142,75;0,24;78,48;0,21;-55,90;217,25;0,54;17,13;0,06
65,13;0,18;-90,57;182,58;0,47;132,33;0,23;78,71;0,21;-55,30;217,85;0,54;16,56;0,05
65,42;0,18;-89,82;183,33;0,47;125,78;0,22;79,00;0,21;-54,55;218,60;0,54;15,94;0,05
65,75;0,18;-88,96;184,19;0,47;118,59;0,21;79,14;0,21;-54,18;218,97;0,54;15,63;0,05
66,00;0,18;-88,31;184,84;0,47;113,70;0,20;79,48;0,21;-53,30;219,85;0,54;14,95;0,05
66,22;0,18;-87,74;185,41;0,47;109,61;0,19;79,76;0,21;-52,57;220,58;0,54;14,39;0,05
66,51;0,18;-86,99;186,16;0,48;104,37;0,19;80,12;0,21;-51,64;221,51;0,55;13,72;0,05
66,75;0,18;-86,36;186,79;0,48;100,35;0,18;80,51;0,21;-50,62;222,53;0,55;13,05;0,05
67,02;0,18;-85,66;187,49;0,48;96,11;0,17;80,74;0,21;-50,03;223,12;0,55;12,64;0,05
67,30;0,18;-84,94;188,21;0,48;91,67;0,17;80,94;0,21;-49,51;223,64;0,55;12,31;0,05
67,60;0,19;-84,16;188,99;0,48;87,09;0,16;81,20;0,21;-48,83;224,32;0,55;11,89;0,05
67,92;0,19;-83,32;189,83;0,48;82,50;0,15;81,39;0,21;-48,34;224,81;0,55;11,60;0,05
68,32;0,19;-82,29;190,86;0,48;77,48;0,15;81,79;0,21;-47,30;225,85;0,55;11,02;0,05
68,65;0,19;-81,43;191,72;0,49;73,49;0,14;82,00;0,21;-46,75;226,40;0,56;10,72;0,05
69,11;0,19;-80,23;192,92;0,49;68,14;0,13;82,25;0,21;-46,10;227,05;0,56;10,39;0,05
69,36;0,19;-79,58;193,57;0,49;65,40;0,13;82,64;0,22;-45,09;228,06;0,56;9,88;0,04
69,70;0,19;-78,70;194,45;0,49;61,97;0,12;83,04;0,22;-44,05;229,10;0,56;9,38;0,04
70,28;0,19;-77,19;195,96;0,49;56,93;0,12;83,51;0,22;-42,83;230,32;0,56;8,85;0,04
70,34;0,19;-77,04;196,11;0,50;56,17;0,11;83,78;0,22;-42,13;231,02;0,57;8,57;0,04
70,59;0,19;-76,39;196,76;0,50;54,01;0,11;84,03;0,22;-41,48;231,67;0,57;8,30;0,04
70,84;0,19;-75,74;197,41;0,50;51,93;0,11;84,18;0,22;-41,09;232,06;0,57;8,14;0,04
71,07;0,19;-75,14;198,01;0,50;50,13;0,11;84,54;0,22;-40,16;232,99;0,57;7,79;0,04
71,55;0,19;-73,90;199,25;0,50;46,63;0,10;84,72;0,22;-39,69;233,46;0,57;7,62;0,04
71,77;0,19;-73,32;199,83;0,50;44,96;0,10;85,13;0,22;-38,62;234,53;0,57;7,25;0,04
71,93;0,19;-72,91;200,24;0,50;43,91;0,10;85,48;0,22;-37,71;235,44;0,57;6,95;0,04
72,14;0,19;-72,36;200,79;0,50;42,51;0,09;85,75;0,22;-37,01;236,14;0,58;6,72;0,04
72,38;0,19;-71,74;201,41;0,51;40,97;0,09;85,92;0,22;-36,57;236,58;0,58;6,58;0,04
72,50;0,20;-71,43;201,72;0,51;40,29;0,09;86,10;0,22;-36,10;237,05;0,58;6,43;0,04
72,64;0,20;-71,06;202,09;0,51;39,39;0,09;86,36;0,22;-35,43;237,72;0,58;6,23;0,04
72,90;0,20;-70,39;202,76;0,51;37,91;0,09;86,71;0,22;-34,52;238,63;0,58;5,92;0,04
73,26;0,20;-69,45;203,70;0,51;35,92;0,08;86,98;0,22;-33,82;239,33;0,58;5,468;0,011
73,57;0,20;-68,65;204,50;0,51;34,34;0,08;87,27;0,22;-33,06;240,09;0,58;5,195;0,011
73,72;0,20;-68,26;204,89;0,51;33,56;0,08;87,70;0,23;-31,95;241,20;0,59;4,871;0,010
73,94;0,20;-67,69;205,46;0,51;32,47;0,08;88,31;0,23;-30,36;242,79;0,59;4,492;0,010
74,10;0,20;-67,27;205,88;0,51;31,76;0,08;88,85;0,23;-28,96;244,19;0,59;4,202;0,009
75,42;0,20;-63,84;209,31;0,52;26,28;0,07;89,44;0,23;-27,43;245,72;0,59;3,918;0,009
75,53;0,20;-63,56;209,59;0,52;25,82;0,07;89,74;0,23;-26,65;246,50;0,60;3,782;0,009
75,68;0,20;-63,17;209,98;0,52;25,27;0,07;90,19;0,23;-25,48;247,67;0,60;3,595;0,008
76,04;0,20;-62,23;210,92;0,52;24,01;0,07;90,93;0,23;-23,56;249,59;0,60;3,312;0,008
76,30;0,20;-61,56;211,59;0,53;23,13;0,06;91,71;0,23;-21,53;251,62;0,61;3,041;0,008
76,40;0,20;-61,30;211,85;0,53;22,81;0,06;92,78;0,24;-18,75;254,40;0,61;2,710;0,007
76,55;0,20;-60,91;212,24;0,53;22,31;0,06;93,53;0,24;-16,81;256,34;0,62;2,503;0,007
76,60;0,20;-60,78;212,37;0,53;22,14;0,06;94,24;0,24;-14,96;258,19;0,62;2,326;0,006
76,77;0,20;-60,34;212,81;0,53;21,63;0,06;94,79;0,24;-13,53;259,62;0,62;2,199;0,006
76,95;0,20;-59,87;213,28;0,53;21,15;0,06;95,42;0,24;-11,90;261,25;0,63;2,063;0,006
77,34;0,20;-58,86;214,29;0,53;20,01;0,06;96,01;0,24;-10,36;262,79;0,63;1,941;0,006
